 ,Area,Mean
1,0.416888834,386.487953599
2,0.416888834,414.808893516
3,0.416888834,81.662403331
4,0.416888834,82.443039857
5,0.416888834,334.074063058
6,0.416888834,333.550862582
7,0.416888834,323.013384890
8,0.416888834,325.652587745
9,0.416888834,290.768590125
10,0.416888834,297.458506841
11,0.416888834,265.054729328
12,0.416888834,254.859309935
13,0.416888834,182.903182629
14,0.416888834,214.286585366
15,0.416888834,146.752082094
16,0.416888834,152.867340869
17,0.416888834,138.248958953
18,0.416888834,123.092504462
19,0.416888834,111.416864961
20,0.416888834,117.608863772
21,0.416888834,97.755948840
22,0.416888834,106.404967281
23,0.416888834,404.769482451
24,0.416888834,389.993158834
25,0.416888834,348.304729328
26,0.416888834,377.788518739
27,0.416888834,364.598750744
28,0.416888834,334.192296252
29,0.416888834,329.130279595
30,0.416888834,332.256543724
31,0.416888834,337.028554432
32,0.416888834,330.173854848
33,0.416888834,387.470553242
34,0.416888834,402.645151695
35,0.416888834,401.855889352
36,0.416888834,355.473676383
